Date,VAR
2017-04-24 00:00:00,19.987210075267555
2017-04-24 00:15:00,19.848932337564452
2017-04-24 00:30:00,19.761300967839976
2017-04-24 00:45:00,19.696015426499596
2017-04-24 01:00:00,19.61152803942662
2017-04-24 01:15:00,19.366585230085335
2017-04-24 01:30:00,19.06271833528095
2017-04-24 01:45:00,18.62389627754093
2017-04-24 02:00:00,18.206980356071377
2017-04-24 02:15:00,17.879042970101057
2017-04-24 02:30:00,17.6170363591932
2017-04-24 02:45:00,17.423113896685532
2017-04-24 03:00:00,17.212264427751844
2017-04-24 03:15:00,17.07398946010689
2017-04-24 03:30:00,17.02131794425484
2017-04-24 03:45:00,17.00169756935331
2017-04-24 04:00:00,16.968492142168312
2017-04-24 04:15:00,16.982582980155062
2017-04-24 04:30:00,17.167092213418595
2017-04-24 04:45:00,17.369306639065865
2017-04-24 05:00:00,17.641323230112597
2017-04-24 05:15:00,17.954848314660367
2017-04-24 05:30:00,18.26865225761022
2017-04-24 05:45:00,18.731474660222794
2017-04-24 06:00:00,19.271602288383743
2017-04-24 06:15:00,19.880254072312045
2017-04-24 06:30:00,20.432490725154825
2017-04-24 06:45:00,20.87726708571145
2017-04-24 07:00:00,21.233304711351806
2017-04-24 07:15:00,21.560430332310727
2017-04-24 07:30:00,21.858581658471042
2017-04-24 07:45:00,22.000454104647705
2017-04-24 08:00:00,22.1248415521569
2017-04-24 08:15:00,22.113947413578583
2017-04-24 08:30:00,22.004339990563732
2017-04-24 08:45:00,21.95196674195662
2017-04-24 09:00:00,21.927506779929896
2017-04-24 09:15:00,21.908287620612946
2017-04-24 09:30:00,21.84967126765462
2017-04-24 09:45:00,21.72424662683376
2017-04-24 10:00:00,21.72797066145898
2017-04-24 10:15:00,21.798573677393215
2017-04-24 10:30:00,21.896901818293216
2017-04-24 10:45:00,21.95527105208729
2017-04-24 11:00:00,22.03115100956559
2017-04-24 11:15:00,22.09262523171078
2017-04-24 11:30:00,22.141389823975715
2017-04-24 11:45:00,22.218179614862226
2017-04-24 12:00:00,22.290478815033087
2017-04-24 12:15:00,22.273250650432086
2017-04-24 12:30:00,22.23855808964029
2017-04-24 12:45:00,22.256049669444167
2017-04-24 13:00:00,22.179089062775407
2017-04-24 13:15:00,22.089966679880888
2017-04-24 13:30:00,21.96004611545765
2017-04-24 13:45:00,21.758841435922267
2017-04-24 14:00:00,21.64522535413894
2017-04-24 14:15:00,21.655551762509347
2017-04-24 14:30:00,21.585847521574557
2017-04-24 14:45:00,21.47666779539199
2017-04-24 15:00:00,21.38437576565092
2017-04-24 15:15:00,21.36988602052849
2017-04-24 15:30:00,21.318114676742706
2017-04-24 15:45:00,21.303092950151807
2017-04-24 16:00:00,21.403510910012955
2017-04-24 16:15:00,21.406715590658774
2017-04-24 16:30:00,21.511176772144857
2017-04-24 16:45:00,21.747746665735956
2017-04-24 17:00:00,22.092862123317964
2017-04-24 17:15:00,22.537521173955746
2017-04-24 17:30:00,22.98135027502386
2017-04-24 17:45:00,23.35854804505512
2017-04-24 18:00:00,23.71095587284801
2017-04-24 18:15:00,24.082889586824002
2017-04-24 18:30:00,24.339832638058624
2017-04-24 18:45:00,24.40629227791481
2017-04-24 19:00:00,24.3500568428708
2017-04-24 19:15:00,24.196073054336136
2017-04-24 19:30:00,23.966901969417982
2017-04-24 19:45:00,23.68119137668987
2017-04-24 20:00:00,23.46255004411968
2017-04-24 20:15:00,23.222027390090663
2017-04-24 20:30:00,22.893552809682056
2017-04-24 20:45:00,22.523007340641403
2017-04-24 21:00:00,22.159568250611184
2017-04-24 21:15:00,21.764226407836542
2017-04-24 21:30:00,21.362534557236287
2017-04-24 21:45:00,21.08575215041086
2017-04-24 22:00:00,20.951511149225826
2017-04-24 22:15:00,20.934653498409183
2017-04-24 22:30:00,20.89310416792491
2017-04-24 22:45:00,20.774743398621098
2017-04-24 23:00:00,20.679633025976155
2017-04-24 23:15:00,20.49039654359755
2017-04-24 23:30:00,20.28512149143981
2017-04-24 23:45:00,20.119902108106945
2017-04-25 00:00:00,19.970622525798085
2017-04-25 00:15:00,19.821871455064038
2017-04-25 00:30:00,19.728641214926515
2017-04-25 00:45:00,19.640269752346374
2017-04-25 01:00:00,19.510702066254133
2017-04-25 01:15:00,19.210373464058495
2017-04-25 01:30:00,18.858783614161656
2017-04-25 01:45:00,18.397399639329265
2017-04-25 02:00:00,17.970220743492348
2017-04-25 02:15:00,17.62957499670852
2017-04-25 02:30:00,17.367133406628678
2017-04-25 02:45:00,17.18074009945159
2017-04-25 03:00:00,16.976787872831455
2017-04-25 03:15:00,16.83466210293742
2017-04-25 03:30:00,16.770078720513816
2017-04-25 03:45:00,16.73571034755805
2017-04-25 04:00:00,16.68175116983569
2017-04-25 04:15:00,16.670421009064064
2017-04-25 04:30:00,16.81713313358045
2017-04-25 04:45:00,16.981170492522732
2017-04-25 05:00:00,17.20833083044637
2017-04-25 05:15:00,17.477459218212108
2017-04-25 05:30:00,17.72931807013776
2017-04-25 05:45:00,18.10478758106427
2017-04-25 06:00:00,18.53429836127148
2017-04-25 06:15:00,19.018625368396005
2017-04-25 06:30:00,19.437204313796094
2017-04-25 06:45:00,19.75480161762518
2017-04-25 07:00:00,20.007756847021476
2017-04-25 07:15:00,20.273770603881392
2017-04-25 07:30:00,20.527870413259883
2017-04-25 07:45:00,20.650118382692334
2017-04-25 08:00:00,20.756953090869242
2017-04-25 08:15:00,20.759588349906473
2017-04-25 08:30:00,20.682810909744568
2017-04-25 08:45:00,20.671781123324134
2017-04-25 09:00:00,20.689309464036945
